Date,Open,High,Low,Close,Adj Close,Volume
2018-01-04,1123.000000,1154.699951,1123.000000,1137.900024,1077.582886,27738
2018-01-05,1118.000000,1148.949951,1117.400024,1128.250000,1068.444336,14925
2018-01-08,1128.000000,1136.900024,1105.000000,1111.349976,1052.440308,16613
2018-01-09,1111.500000,1126.250000,1070.150024,1082.650024,1025.261475,20127
2018-01-10,1080.000000,1098.949951,1055.000000,1075.300049,1018.301086,27717
2018-01-11,1067.750000,1092.400024,1050.000000,1054.900024,998.982605,16048
2018-01-12,1069.000000,1069.000000,1037.000000,1043.800049,988.470825,14647
2018-01-15,1057.949951,1057.949951,1035.500000,1043.050049,987.760742,18617
2018-01-16,1044.000000,1070.000000,995.000000,1011.650024,958.025208,65307
2018-01-17,1012.200012,1015.049988,990.000000,997.400024,944.530457,28266
2018-01-18,1026.250000,1037.000000,976.000000,983.849976,931.698669,57109
2018-01-19,999.599976,1003.150024,980.250000,996.799988,943.962219,18697
2018-01-22,996.000000,1035.000000,980.000000,1027.250000,972.798218,34561
2018-01-23,1040.000000,1054.000000,988.000000,1009.950012,956.415283,47301
2018-01-24,1066.900024,1211.900024,1060.000000,1211.900024,1147.660400,776956
2018-01-25,1245.000000,1425.800049,1175.250000,1340.150024,1269.112061,615266
2018-01-29,1329.000000,1372.000000,1303.250000,1328.800049,1258.364014,170404
2018-01-30,1312.000000,1359.800049,1263.900024,1276.300049,1208.646606,111395
2018-01-31,1279.000000,1289.000000,1201.000000,1209.400024,1145.292725,77960
2018-02-01,1229.000000,1329.000000,1216.750000,1311.800049,1242.265137,213461
2018-02-02,1289.900024,1340.000000,1258.800049,1300.849976,1231.895264,182966
2018-02-05,1260.000000,1339.000000,1203.250000,1298.250000,1229.432983,150618
2018-02-06,1222.000000,1275.000000,1211.000000,1239.599976,1173.891968,53435
2018-02-07,1270.000000,1342.000000,1250.000000,1324.349976,1254.149902,110746
2018-02-08,1330.500000,1409.949951,1307.000000,1322.550049,1252.445068,150680
2018-02-09,1300.000000,1329.000000,1280.000000,1312.449951,1242.880371,105534
2018-02-12,1334.000000,1542.000000,1324.849976,1479.699951,1401.264771,404410
2018-02-14,1480.000000,1498.000000,1425.000000,1460.250000,1382.846069,175103
2018-02-15,1475.000000,1545.000000,1432.300049,1452.949951,1375.932983,185383
2018-02-16,1489.000000,1489.000000,1385.449951,1395.699951,1321.717407,95518
2018-02-19,1400.000000,1418.000000,1301.000000,1322.900024,1252.776611,163887
2018-02-20,1325.000000,1366.949951,1255.000000,1263.199951,1196.241211,158951
2018-02-21,1289.900024,1379.000000,1289.000000,1367.449951,1294.965088,348561
2018-02-22,1351.099976,1369.300049,1335.500000,1356.199951,1284.311401,126039
2018-02-23,1357.900024,1417.000000,1357.900024,1401.500000,1327.210083,111530
2018-02-26,1401.000000,1424.000000,1380.000000,1412.449951,1337.579834,82374
2018-02-27,1409.949951,1420.000000,1375.050049,1390.199951,1316.509033,40576
2018-02-28,1390.099976,1405.000000,1352.250000,1393.699951,1319.823486,60226
2018-03-01,1398.000000,1435.000000,1385.000000,1411.650024,1336.822144,146006
2018-03-05,1383.550049,1408.000000,1330.000000,1338.650024,1267.691650,90999
2018-03-06,1360.000000,1384.000000,1303.000000,1308.500000,1239.139893,71785
